TransactionNo,Items,DateTime,Daypart,DayType
43,Scandinavian,2016-10-30 12:00:22,Afternoon,Weekend
43,Fudge,2016-10-30 12:00:22,Afternoon,Weekend
44,Starbucks Dark Roast Coffee Beans,2016-10-30 12:05:47,Afternoon,Weekend
44,Medialunas Argentinian Croissant,2016-10-30 12:05:47,Afternoon,Weekend
45,Starbucks Dark Roast Coffee Beans,2016-10-30 12:08:36,Afternoon,Weekend
45,Hot chocolate,2016-10-30 12:08:36,Afternoon,Weekend
45,Medialunas Argentinian Croissant,2016-10-30 12:08:36,Afternoon,Weekend
46,Starbucks Dark Roast Coffee Beans,2016-10-30 12:09:04,Afternoon,Weekend
47,Ella's Kitchen Pouches,2016-10-30 12:15:29,Afternoon,Weekend
47,Tropicana Orange Juice,2016-10-30 12:15:29,Afternoon,Weekend
47,Wonder Bread,2016-10-30 12:15:29,Afternoon,Weekend
47,Hostess Muffin,2016-10-30 12:15:29,Afternoon,Weekend
47,Smucker's Jam,2016-10-30 12:15:29,Afternoon,Weekend
48,Starbucks Dark Roast Coffee Beans,2016-10-30 12:17:02,Afternoon,Weekend
49,Starbucks Dark Roast Coffee Beans,2016-10-30 12:23:01,Afternoon,Weekend
49,Starbucks Dark Roast Coffee Beans,2016-10-30 12:23:01,Afternoon,Weekend
49,Medialunas Argentinian Croissant,2016-10-30 12:23:01,Afternoon,Weekend
50,Wonder Bread,2016-10-30 12:25:11,Afternoon,Weekend
50,Victorian Sponge,2016-10-30 12:25:11,Afternoon,Weekend
51,Wonder Bread,2016-10-30 12:26:58,Afternoon,Weekend
52,Scandinavian,2016-10-30 12:28:07,Afternoon,Weekend
54,Wonder Bread,2016-10-30 12:33:08,Afternoon,Weekend
55,Frittata,2016-10-30 12:38:06,Afternoon,Weekend
55,Starbucks Dark Roast Coffee Beans,2016-10-30 12:38:06,Afternoon,Weekend
55,Lipton Ice Tea,2016-10-30 12:38:06,Afternoon,Weekend
55,Hearty & Seasonal Foods,2016-10-30 12:38:06,Afternoon,Weekend
56,Starbucks Dark Roast Coffee Beans,2016-10-30 12:39:27,Afternoon,Weekend
56,Frittata,2016-10-30 12:39:27,Afternoon,Weekend
57,Scandinavian,2016-10-30 12:45:48,Afternoon,Weekend
58,Victorian Sponge,2016-10-30 12:59:29,Afternoon,Weekend
58,Hot chocolate,2016-10-30 12:59:29,Afternoon,Weekend
58,Lipton Ice Tea,2016-10-30 12:59:29,Afternoon,Weekend
58,Campbell's Soup,2016-10-30 12:59:29,Afternoon,Weekend
59,Lipton Ice Tea,2016-10-30 13:02:04,Afternoon,Weekend
60,Chip's Ahoy Chocolate Chip Cookies,2016-10-30 13:14:04,Afternoon,Weekend
60,Starbucks Dark Roast Coffee Beans,2016-10-30 13:14:04,Afternoon,Weekend
60,Tropicana Orange Juice,2016-10-30 13:14:04,Afternoon,Weekend
60,Starbucks Dark Roast Coffee Beans,2016-10-30 13:14:04,Afternoon,Weekend
61,Starbucks Dark Roast Coffee Beans,2016-10-30 13:15:38,Afternoon,Weekend
62,Pick and Mix Bowls,2016-10-30 13:24:00,Afternoon,Weekend
62,Hearty & Seasonal Foods,2016-10-30 13:24:00,Afternoon,Weekend
62,Hearty & Seasonal Foods,2016-10-30 13:24:00,Afternoon,Weekend
62,Starbucks Dark Roast Coffee Beans,2016-10-30 13:24:00,Afternoon,Weekend
62,Smoothies,2016-10-30 13:24:00,Afternoon,Weekend
62,Starbucks Dark Roast Coffee Beans,2016-10-30 13:24:00,Afternoon,Weekend
63,Starbucks Dark Roast Coffee Beans,2016-10-30 13:33:12,Afternoon,Weekend
64,Betty Crocker Cake Mix,2016-10-30 13:34:07,Afternoon,Weekend
65,Tartine,2016-10-30 13:37:25,Afternoon,Weekend
65,Mighty Protein,2016-10-30 13:37:25,Afternoon,Weekend
65,Lipton Ice Tea,2016-10-30 13:37:25,Afternoon,Weekend
65,Starbucks Dark Roast Coffee Beans,2016-10-30 13:37:25,Afternoon,Weekend
66,Hearty & Seasonal Foods,2016-10-30 13:40:20,Afternoon,Weekend
66,Frittata,2016-10-30 13:40:20,Afternoon,Weekend
66,Mineral water,2016-10-30 13:40:20,Afternoon,Weekend
67,Hearty & Seasonal Foods,2016-10-30 13:46:48,Afternoon,Weekend
67,Mineral water,2016-10-30 13:46:48,Afternoon,Weekend
67,Hostess Muffin,2016-10-30 13:46:48,Afternoon,Weekend
68,Frittata,2016-10-30 13:49:36,Afternoon,Weekend
68,Starbucks Dark Roast Coffee Beans,2016-10-30 13:49:36,Afternoon,Weekend
68,Lipton Ice Tea,2016-10-30 13:49:36,Afternoon,Weekend
68,Scandinavian,2016-10-30 13:49:36,Afternoon,Weekend
68,Chicken sand,2016-10-30 13:49:36,Afternoon,Weekend
69,Wonder Bread,2016-10-30 13:51:49,Afternoon,Weekend
69,Lipton Ice Tea,2016-10-30 13:51:49,Afternoon,Weekend
69,Victorian Sponge,2016-10-30 13:51:49,Afternoon,Weekend
70,Fudge,2016-10-30 13:54:42,Afternoon,Weekend
71,Hostess Muffin,2016-10-30 13:56:08,Afternoon,Weekend
72,Starbucks Dark Roast Coffee Beans,2016-10-30 14:21:38,Afternoon,Weekend
72,Wonder Bread,2016-10-30 14:21:38,Afternoon,Weekend
73,Wonder Bread,2016-10-30 14:22:39,Afternoon,Weekend
74,Starbucks Dark Roast Coffee Beans,2016-10-30 14:24:03,Afternoon,Weekend
74,Wonder Bread,2016-10-30 14:24:03,Afternoon,Weekend
75,Smucker's Jam,2016-10-30 14:32:26,Afternoon,Weekend
75,Frittata,2016-10-30 14:32:26,Afternoon,Weekend
76,Starbucks Dark Roast Coffee Beans,2016-10-30 14:32:49,Afternoon,Weekend
77,Scandinavian,2016-10-30 14:35:36,Afternoon,Weekend
78,Fudge,2016-10-30 14:42:29,Afternoon,Weekend
79,Fudge,2016-10-30 14:45:44,Afternoon,Weekend
79,Lipton Ice Tea,2016-10-30 14:45:44,Afternoon,Weekend
79,Starbucks Dark Roast Coffee Beans,2016-10-30 14:45:44,Afternoon,Weekend
79,Hostess Muffin,2016-10-30 14:45:44,Afternoon,Weekend
80,Frittata,2016-10-30 14:48:40,Afternoon,Weekend
80,Wonder Bread,2016-10-30 14:48:40,Afternoon,Weekend
80,Starbucks Dark Roast Coffee Beans,2016-10-30 14:48:40,Afternoon,Weekend
81,Starbucks Dark Roast Coffee Beans,2016-10-31 08:28:31,Morning,Weekday
81,Betty Crocker Cake Mix,2016-10-31 08:28:31,Morning,Weekday
82,Tartine,2016-10-31 08:47:05,Morning,Weekday
82,Wonder Bread,2016-10-31 08:47:05,Morning,Weekday
83,Starbucks Dark Roast Coffee Beans,2016-10-31 08:57:47,Morning,Weekday
83,Wonder Bread,2016-10-31 08:57:47,Morning,Weekday
84,Wonder Bread,2016-10-31 09:04:06,Morning,Weekday
85,Starbucks Dark Roast Coffee Beans,2016-10-31 09:10:09,Morning,Weekday
85,Starbucks Dark Roast Coffee Beans,2016-10-31 09:10:09,Morning,Weekday
85,Baker's Treat Danish Pastry,2016-10-31 09:10:09,Morning,Weekday
85,Medialunas Argentinian Croissant,2016-10-31 09:10:09,Morning,Weekday
86,Tropicana Orange Juice,2016-10-31 09:11:08,Morning,Weekday
87,Wonder Bread,2016-10-31 09:12:56,Morning,Weekday
88,Starbucks Dark Roast Coffee Beans,2016-10-31 09:16:01,Morning,Weekday
88,Starbucks Dark Roast Coffee Beans,2016-10-31 09:16:01,Morning,Weekday
88,Smucker's Jam,2016-10-31 09:16:01,Morning,Weekday
89,Wonder Bread,2016-10-31 09:19:41,Morning,Weekday
90,Wonder Bread,2016-10-31 09:20:12,Morning,Weekday
90,Starbucks Dark Roast Coffee Beans,2016-10-31 09:20:12,Morning,Weekday
91,Lipton Ice Tea,2016-10-31 09:22:48,Morning,Weekday
92,Starbucks Dark Roast Coffee Beans,2016-10-31 09:27:11,Morning,Weekday
93,Wonder Bread,2016-10-31 09:29:23,Morning,Weekday
93,Coca-Cola,2016-10-31 09:29:23,Morning,Weekday
94,Starbucks Dark Roast Coffee Beans,2016-10-31 09:39:09,Morning,Weekday
94,Starbucks Dark Roast Coffee Beans,2016-10-31 09:39:09,Morning,Weekday
95,Lipton Ice Tea,2016-10-31 09:43:37,Morning,Weekday
95,Baker's Treat Danish Pastry,2016-10-31 09:43:37,Morning,Weekday
95,Farm House,2016-10-31 09:43:37,Morning,Weekday
96,Baker's Treat Danish Pastry,2016-10-31 09:46:48,Morning,Weekday
96,Baker's Treat Danish Pastry,2016-10-31 09:46:48,Morning,Weekday
96,Starbucks Dark Roast Coffee Beans,2016-10-31 09:46:48,Morning,Weekday
96,Tropicana Orange Juice,2016-10-31 09:46:48,Morning,Weekday
97,Starbucks Dark Roast Coffee Beans,2016-10-31 09:51:11,Morning,Weekday
97,Baker's Treat Danish Pastry,2016-10-31 09:51:11,Morning,Weekday
97,Tropicana Orange Juice,2016-10-31 09:51:11,Morning,Weekday
98,Farm House,2016-10-31 09:52:22,Morning,Weekday
99,Baker's Treat Danish Pastry,2016-10-31 09:56:37,Morning,Weekday
99,Baker's Treat Danish Pastry,2016-10-31 09:56:37,Morning,Weekday
99,Starbucks Dark Roast Coffee Beans,2016-10-31 09:56:37,Morning,Weekday
99,Wonder Bread,2016-10-31 09:56:37,Morning,Weekday
100,Wonder Bread,2016-10-31 09:58:06,Morning,Weekday
101,Starbucks Dark Roast Coffee Beans,2016-10-31 10:04:02,Morning,Weekday
101,Baker's Treat Danish Pastry,2016-10-31 10:04:02,Morning,Weekday
102,Farm House,2016-10-31 10:04:44,Morning,Weekday
103,Wonder Bread,2016-10-31 10:07:40,Morning,Weekday
104,Starbucks Dark Roast Coffee Beans,2016-10-31 10:12:48,Morning,Weekday
104,Starbucks Dark Roast Coffee Beans,2016-10-31 10:12:48,Morning,Weekday
104,Medialunas Argentinian Croissant,2016-10-31 10:12:48,Morning,Weekday
104,Hostess Muffin,2016-10-31 10:12:48,Morning,Weekday
104,Starbucks Dark Roast Coffee Beans,2016-10-31 10:12:48,Morning,Weekday
105,Starbucks Dark Roast Coffee Beans,2016-10-31 10:21:29,Morning,Weekday
105,Lipton Ice Tea,2016-10-31 10:21:29,Morning,Weekday
105,Betty Crocker Cake Mix,2016-10-31 10:21:29,Morning,Weekday
106,Starbucks Dark Roast Coffee Beans,2016-10-31 10:24:21,Morning,Weekday
106,Starbucks Dark Roast Coffee Beans,2016-10-31 10:24:21,Morning,Weekday
106,Baker's Treat Danish Pastry,2016-10-31 10:24:21,Morning,Weekday
106,Baker's Treat Danish Pastry,2016-10-31 10:24:21,Morning,Weekday
107,Starbucks Dark Roast Coffee Beans,2016-10-31 10:27:30,Morning,Weekday
107,Lipton Ice Tea,2016-10-31 10:27:30,Morning,Weekday
108,Farm House,2016-10-31 10:31:05,Morning,Weekday
108,Hostess Muffin,2016-10-31 10:31:05,Morning,Weekday
109,Wonder Bread,2016-10-31 10:35:23,Morning,Weekday
109,Hostess Muffin,2016-10-31 10:35:23,Morning,Weekday
109,Baker's Treat Danish Pastry,2016-10-31 10:35:23,Morning,Weekday
110,Baker's Treat Danish Pastry,2016-10-31 10:36:37,Morning,Weekday
111,Starbucks Dark Roast Coffee Beans,2016-10-31 10:38:09,Morning,Weekday
112,Starbucks Dark Roast Coffee Beans,2016-10-31 10:59:17,Morning,Weekday
113,Starbucks Dark Roast Coffee Beans,2016-10-31 11:02:37,Morning,Weekday
113,Betty Crocker Cake Mix,2016-10-31 11:02:37,Morning,Weekday
114,Farm House,2016-10-31 11:05:45,Morning,Weekday
115,Wonder Bread,2016-10-31 11:08:53,Morning,Weekday
116,Starbucks Dark Roast Coffee Beans,2016-10-31 11:11:01,Morning,Weekday
117,Chip's Ahoy Chocolate Chip Cookies,2016-10-31 11:13:08,Morning,Weekday
117,Betty Crocker Cake Mix,2016-10-31 11:13:08,Morning,Weekday
117,Starbucks Dark Roast Coffee Beans,2016-10-31 11:13:08,Morning,Weekday
117,My-5 Fruit Shoot,2016-10-31 11:13:08,Morning,Weekday
118,Chip's Ahoy Chocolate Chip Cookies,2016-10-31 11:18:29,Morning,Weekday
118,Chip's Ahoy Chocolate Chip Cookies,2016-10-31 11:18:29,Morning,Weekday
118,Lipton Ice Tea,2016-10-31 11:18:29,Morning,Weekday
118,Baker's Treat Danish Pastry,2016-10-31 11:18:29,Morning,Weekday
119,Starbucks Dark Roast Coffee Beans,2016-10-31 11:25:56,Morning,Weekday
119,Starbucks Dark Roast Coffee Beans,2016-10-31 11:25:56,Morning,Weekday
119,Hostess Muffin,2016-10-31 11:25:56,Morning,Weekday
120,Farm House,2016-10-31 11:29:01,Morning,Weekday
121,Starbucks Dark Roast Coffee Beans,2016-10-31 11:30:59,Morning,Weekday
121,Wonder Bread,2016-10-31 11:30:59,Morning,Weekday
122,Chip's Ahoy Chocolate Chip Cookies,2016-10-31 11:37:30,Morning,Weekday
123,Smucker's Jam,2016-10-31 11:42:05,Morning,Weekday
123,Starbucks Dark Roast Coffee Beans,2016-10-31 11:42:05,Morning,Weekday
123,Starbucks Dark Roast Coffee Beans,2016-10-31 11:42:05,Morning,Weekday
123,Tropicana Orange Juice,2016-10-31 11:42:05,Morning,Weekday
124,Starbucks Dark Roast Coffee Beans,2016-10-31 11:43:10,Morning,Weekday
124,Campbell's Soup,2016-10-31 11:43:10,Morning,Weekday
125,Lipton Ice Tea,2016-10-31 11:47:18,Morning,Weekday
126,Starbucks Dark Roast Coffee Beans,2016-10-31 11:52:43,Morning,Weekday
126,Smucker's Jam,2016-10-31 11:52:43,Morning,Weekday
127,Farm House,2016-10-31 11:53:11,Morning,Weekday
128,Tartine,2016-10-31 11:55:00,Morning,Weekday
128,Starbucks Dark Roast Coffee Beans,2016-10-31 11:55:00,Morning,Weekday
128,Lipton Ice Tea,2016-10-31 11:55:00,Morning,Weekday
129,Starbucks Dark Roast Coffee Beans,2016-10-31 11:59:23,Morning,Weekday
129,Starbucks Dark Roast Coffee Beans,2016-10-31 11:59:23,Morning,Weekday
129,Betty Crocker Cake Mix,2016-10-31 11:59:23,Morning,Weekday
130,Starbucks Dark Roast Coffee Beans,2016-10-31 12:03:12,Afternoon,Weekday
130,Starbucks Dark Roast Coffee Beans,2016-10-31 12:03:12,Afternoon,Weekday
130,Hostess Muffin,2016-10-31 12:03:12,Afternoon,Weekday
131,Wonder Bread,2016-10-31 12:08:28,Afternoon,Weekday
131,Starbucks Dark Roast Coffee Beans,2016-10-31 12:08:28,Afternoon,Weekday
132,Lipton Ice Tea,2016-10-31 12:14:20,Afternoon,Weekday
132,Tropicana Orange Juice,2016-10-31 12:14:20,Afternoon,Weekday
132,Pick and Mix Bowls,2016-10-31 12:14:20,Afternoon,Weekday
132,Chip's Ahoy Chocolate Chip Cookies,2016-10-31 12:14:20,Afternoon,Weekday
133,Hearty & Seasonal Foods,2016-10-31 12:16:32,Afternoon,Weekday
133,Campbell's Soup,2016-10-31 12:16:32,Afternoon,Weekday
134,Hearty & Seasonal Foods,2016-10-31 12:19:37,Afternoon,Weekday
134,Lipton Ice Tea,2016-10-31 12:19:37,Afternoon,Weekday
134,Farm House,2016-10-31 12:19:37,Afternoon,Weekday
135,Wonder Bread,2016-10-31 12:20:21,Afternoon,Weekday
136,Lipton Ice Tea,2016-10-31 12:27:41,Afternoon,Weekday
136,Campbell's Soup,2016-10-31 12:27:41,Afternoon,Weekday
137,Farm House,2016-10-31 12:37:07,Afternoon,Weekday
138,Campbell's Soup,2016-10-31 12:43:35,Afternoon,Weekday
138,Hearty & Seasonal Foods,2016-10-31 12:43:35,Afternoon,Weekday
138,Starbucks Dark Roast Coffee Beans,2016-10-31 12:43:35,Afternoon,Weekday
139,Wonder Bread,2016-10-31 12:50:57,Afternoon,Weekday
139,Hostess Muffin,2016-10-31 12:50:57,Afternoon,Weekday
139,Hearty & Seasonal Foods,2016-10-31 12:50:57,Afternoon,Weekday
140,Starbucks Dark Roast Coffee Beans,2016-10-31 12:53:33,Afternoon,Weekday
140,Starbucks Dark Roast Coffee Beans,2016-10-31 12:53:33,Afternoon,Weekday
140,Chip's Ahoy Chocolate Chip Cookies,2016-10-31 12:53:33,Afternoon,Weekday
141,Wonder Bread,2016-10-31 12:54:28,Afternoon,Weekday
142,Lipton Ice Tea,2016-10-31 12:56:47,Afternoon,Weekday
142,Hostess Muffin,2016-10-31 12:56:47,Afternoon,Weekday
143,Lipton Ice Tea,2016-10-31 12:59:08,Afternoon,Weekday
144,Campbell's Soup,2016-10-31 13:02:11,Afternoon,Weekday
144,Hearty & Seasonal Foods,2016-10-31 13:02:11,Afternoon,Weekday
145,Starbucks Dark Roast Coffee Beans,2016-10-31 13:05:49,Afternoon,Weekday
145,Lipton Ice Tea,2016-10-31 13:05:49,Afternoon,Weekday
145,Focaccia,2016-10-31 13:05:49,Afternoon,Weekday
146,Subway Sub of the Day Sandwich,2016-10-31 13:08:30,Afternoon,Weekday
147,Tartine,2016-10-31 13:09:31,Afternoon,Weekday
147,Starbucks Dark Roast Coffee Beans,2016-10-31 13:09:31,Afternoon,Weekday
148,Fudge,2016-10-31 13:21:17,Afternoon,Weekday
148,Starbucks Dark Roast Coffee Beans,2016-10-31 13:21:17,Afternoon,Weekday
148,Starbucks Dark Roast Coffee Beans,2016-10-31 13:21:17,Afternoon,Weekday
149,Starbucks Dark Roast Coffee Beans,2016-10-31 13:26:03,Afternoon,Weekday
150,Wonder Bread,2016-10-31 13:31:33,Afternoon,Weekday
151,Coca-Cola,2016-10-31 13:50:17,Afternoon,Weekday
151,Campbell's Soup,2016-10-31 13:50:17,Afternoon,Weekday
152,Hostess Muffin,2016-10-31 13:51:18,Afternoon,Weekday
153,Lipton Ice Tea,2016-10-31 13:55:22,Afternoon,Weekday
153,Starbucks Dark Roast Coffee Beans,2016-10-31 13:55:22,Afternoon,Weekday
153,Chip's Ahoy Chocolate Chip Cookies,2016-10-31 13:55:22,Afternoon,Weekday
153,Hostess Muffin,2016-10-31 13:55:22,Afternoon,Weekday
154,Mighty Protein,2016-10-31 14:00:21,Afternoon,Weekday
154,Hearty & Seasonal Foods,2016-10-31 14:00:21,Afternoon,Weekday
154,Starbucks Dark Roast Coffee Beans,2016-10-31 14:00:21,Afternoon,Weekday
154,Coca-Cola,2016-10-31 14:00:21,Afternoon,Weekday
155,Lipton Ice Tea,2016-10-31 14:01:30,Afternoon,Weekday
155,Hostess Muffin,2016-10-31 14:01:30,Afternoon,Weekday
155,Subway Sub of the Day Sandwich,2016-10-31 14:01:30,Afternoon,Weekday
156,Starbucks Dark Roast Coffee Beans,2016-10-31 14:04:16,Afternoon,Weekday
156,Hostess Muffin,2016-10-31 14:04:16,Afternoon,Weekday
157,Starbucks Dark Roast Coffee Beans,2016-10-31 14:05:07,Afternoon,Weekday
157,Wonder Bread,2016-10-31 14:05:07,Afternoon,Weekday
158,Starbucks Dark Roast Coffee Beans,2016-10-31 14:20:29,Afternoon,Weekday
158,Hostess Muffin,2016-10-31 14:20:29,Afternoon,Weekday
159,Wonder Bread,2016-10-31 14:22:31,Afternoon,Weekday
159,Hot chocolate,2016-10-31 14:22:31,Afternoon,Weekday
159,Chip's Ahoy Chocolate Chip Cookies,2016-10-31 14:22:31,Afternoon,Weekday
160,Mineral water,2016-10-31 14:35:27,Afternoon,Weekday
160,Hostess Muffin,2016-10-31 14:35:27,Afternoon,Weekday
161,Lipton Ice Tea,2016-10-31 14:42:34,Afternoon,Weekday
162,Hostess Muffin,2016-10-31 14:44:48,Afternoon,Weekday
163,Starbucks Dark Roast Coffee Beans,2016-10-31 14:47:16,Afternoon,Weekday
163,Tropicana Orange Juice,2016-10-31 14:47:16,Afternoon,Weekday
164,Starbucks Dark Roast Coffee Beans,2016-10-31 14:47:36,Afternoon,Weekday
164,Hostess Muffin,2016-10-31 14:47:36,Afternoon,Weekday
165,Lipton Ice Tea,2016-10-31 14:48:49,Afternoon,Weekday
166,Starbucks Dark Roast Coffee Beans,2016-10-31 14:49:28,Afternoon,Weekday
166,Hostess Muffin,2016-10-31 14:49:28,Afternoon,Weekday
167,Subway Sub of the Day Sandwich,2016-10-31 14:50:42,Afternoon,Weekday
167,Hearty & Seasonal Foods,2016-10-31 14:50:42,Afternoon,Weekday
167,Wonder Bread,2016-10-31 14:50:42,Afternoon,Weekday
167,Mineral water,2016-10-31 14:50:42,Afternoon,Weekday
168,Lipton Ice Tea,2016-10-31 14:56:25,Afternoon,Weekday
168,Starbucks Dark Roast Coffee Beans,2016-10-31 14:56:25,Afternoon,Weekday
169,Mineral water,2016-10-31 15:05:17,Afternoon,Weekday
170,Starbucks Dark Roast Coffee Beans,2016-10-31 15:16:49,Afternoon,Weekday
171,Campbell's Soup,2016-10-31 15:20:16,Afternoon,Weekday
171,Lipton Ice Tea,2016-10-31 15:20:16,Afternoon,Weekday
172,Wonder Bread,2016-10-31 17:06:47,Evening,Weekday
172,Starbucks Dark Roast Coffee Beans,2016-10-31 17:06:47,Evening,Weekday
173,Wonder Bread,2016-10-31 17:08:09,Evening,Weekday
173,Hostess Muffin,2016-10-31 17:08:09,Evening,Weekday
174,Starbucks Dark Roast Coffee Beans,2016-10-31 17:40:21,Evening,Weekday
175,Wonder Bread,2016-10-31 17:49:42,Evening,Weekday
176,Chip's Ahoy Chocolate Chip Cookies,2016-10-31 18:22:24,Evening,Weekday
176,Starbucks Dark Roast Coffee Beans,2016-10-31 18:22:24,Evening,Weekday
178,Starbucks Dark Roast Coffee Beans,2016-01-11 07:51:20,Morning,Weekday
178,Baker's Treat Danish Pastry,2016-01-11 07:51:20,Morning,Weekday
179,Starbucks Dark Roast Coffee Beans,2016-01-11 08:20:50,Morning,Weekday
179,Baker's Treat Danish Pastry,2016-01-11 08:20:50,Morning,Weekday
180,Smucker's Jam,2016-01-11 08:22:28,Morning,Weekday
